Manager     : Starting ensemble at: 2026-02-01 19:41:52.545
Manager     : Exiting ensemble at: 2026-02-01 19:41:52.552 Time Taken: 0.007
Manager     : Starting ensemble at: 2026-02-01 19:43:36.837
Manager     : Exiting ensemble at: 2026-02-01 19:43:36.852 Time Taken: 0.015
Manager     : Starting ensemble at: 2026-02-01 19:52:15.909
Manager     : Exiting ensemble at: 2026-02-01 19:52:15.922 Time Taken: 0.013
Manager     : Starting ensemble at: 2026-02-01 19:56:02.775
Manager     : Exiting ensemble at: 2026-02-01 19:56:02.788 Time Taken: 0.013
Manager     : Starting ensemble at: 2026-02-01 19:57:30.510
Worker     2: sim_id    97: sim Time: 0.000 Start: 2026-02-01 20:08:51.710 End: 2026-02-01 20:08:51.710 Status: Not set
Worker     2: sim_id    99: sim Time: 0.000 Start: 2026-02-01 20:08:51.718 End: 2026-02-01 20:08:51.718 Status: Not set
Worker     1: sim_id    98: sim Time: 0.000 Start: 2026-02-01 20:08:51.719 End: 2026-02-01 20:08:51.719 Status: Not set
Worker     1: sim_id   100: sim Time: 0.000 Start: 2026-02-01 20:08:51.729 End: 2026-02-01 20:08:51.729 Status: Not set
Worker     2: sim_id   101: sim Time: 0.000 Start: 2026-02-01 20:08:51.731 End: 2026-02-01 20:08:51.731 Status: Not set
Worker     2: sim_id   103: sim Time: 0.000 Start: 2026-02-01 20:08:51.738 End: 2026-02-01 20:08:51.738 Status: Not set
Worker     1: sim_id   102: sim Time: 0.000 Start: 2026-02-01 20:08:51.739 End: 2026-02-01 20:08:51.739 Status: Not set
Worker     1: sim_id   104: sim Time: 0.000 Start: 2026-02-01 20:08:51.744 End: 2026-02-01 20:08:51.744 Status: Not set
Worker     2: sim_id   105: sim Time: 0.000 Start: 2026-02-01 20:08:51.745 End: 2026-02-01 20:08:51.745 Status: Not set
Worker     2: sim_id   107: sim Time: 0.000 Start: 2026-02-01 20:08:51.751 End: 2026-02-01 20:08:51.751 Status: Not set
Worker     1: sim_id   106: sim Time: 0.000 Start: 2026-02-01 20:08:51.752 End: 2026-02-01 20:08:51.752 Status: Not set
Worker     1: sim_id   108: sim Time: 0.000 Start: 2026-02-01 20:08:51.757 End: 2026-02-01 20:08:51.757 Status: Not set
Worker     2: sim_id   109: sim Time: 0.000 Start: 2026-02-01 20:08:51.758 End: 2026-02-01 20:08:51.758 Status: Not set
Worker     1: sim_id   110: sim Time: 0.000 Start: 2026-02-01 20:08:51.764 End: 2026-02-01 20:08:51.764 Status: Not set
Worker     2: sim_id   111: sim Time: 0.000 Start: 2026-02-01 20:08:51.765 End: 2026-02-01 20:08:51.765 Status: Not set
Worker     1: sim_id   112: sim Time: 0.000 Start: 2026-02-01 20:08:51.772 End: 2026-02-01 20:08:51.772 Status: Not set
Worker     2: sim_id   113: sim Time: 0.000 Start: 2026-02-01 20:08:51.772 End: 2026-02-01 20:08:51.772 Status: Not set
Worker     1: sim_id   114: sim Time: 0.000 Start: 2026-02-01 20:08:51.777 End: 2026-02-01 20:08:51.777 Status: Not set
Worker     2: sim_id   115: sim Time: 0.000 Start: 2026-02-01 20:08:51.778 End: 2026-02-01 20:08:51.778 Status: Not set
Worker     1: sim_id   116: sim Time: 0.000 Start: 2026-02-01 20:08:51.783 End: 2026-02-01 20:08:51.783 Status: Not set
Worker     2: sim_id   117: sim Time: 0.000 Start: 2026-02-01 20:08:51.783 End: 2026-02-01 20:08:51.783 Status: Not set
Worker     1: sim_id   118: sim Time: 0.000 Start: 2026-02-01 20:08:51.786 End: 2026-02-01 20:08:51.786 Status: Not set
Worker     2: sim_id   119: sim Time: 0.000 Start: 2026-02-01 20:08:51.786 End: 2026-02-01 20:08:51.786 Status: Not set
Worker     2: sim_id   121: sim Time: 0.000 Start: 2026-02-01 20:08:51.792 End: 2026-02-01 20:08:51.792 Status: Not set
Worker     1: sim_id   120: sim Time: 0.000 Start: 2026-02-01 20:08:51.792 End: 2026-02-01 20:08:51.792 Status: Not set
Worker     1: sim_id   122: sim Time: 0.000 Start: 2026-02-01 20:08:51.798 End: 2026-02-01 20:08:51.798 Status: Not set
Worker     2: sim_id   123: sim Time: 0.000 Start: 2026-02-01 20:08:51.798 End: 2026-02-01 20:08:51.798 Status: Not set
Worker     1: sim_id   124: sim Time: 0.000 Start: 2026-02-01 20:08:51.805 End: 2026-02-01 20:08:51.805 Status: Not set
Worker     2: sim_id   125: sim Time: 0.000 Start: 2026-02-01 20:08:51.805 End: 2026-02-01 20:08:51.805 Status: Not set
Worker     2: sim_id   127: sim Time: 0.000 Start: 2026-02-01 20:08:51.812 End: 2026-02-01 20:08:51.812 Status: Not set
Worker     1: sim_id   126: sim Time: 0.001 Start: 2026-02-01 20:08:51.812 End: 2026-02-01 20:08:51.813 Status: Not set
Worker     2: sim_id   129: sim Time: 0.000 Start: 2026-02-01 20:08:51.821 End: 2026-02-01 20:08:51.821 Status: Not set
Worker     1: sim_id   128: sim Time: 0.000 Start: 2026-02-01 20:08:51.821 End: 2026-02-01 20:08:51.821 Status: Not set
Worker     1: sim_id   130: sim Time: 0.001 Start: 2026-02-01 20:08:51.827 End: 2026-02-01 20:08:51.828 Status: Not set
Worker     2: sim_id   131: sim Time: 0.000 Start: 2026-02-01 20:08:51.827 End: 2026-02-01 20:08:51.827 Status: Not set
Worker     1: sim_id   132: sim Time: 0.000 Start: 2026-02-01 20:08:51.835 End: 2026-02-01 20:08:51.835 Status: Not set
Worker     2: sim_id   133: sim Time: 0.000 Start: 2026-02-01 20:08:51.837 End: 2026-02-01 20:08:51.837 Status: Not set
Worker     1: sim_id   134: sim Time: 0.000 Start: 2026-02-01 20:08:51.845 End: 2026-02-01 20:08:51.845 Status: Not set
Worker     2: sim_id   135: sim Time: 0.000 Start: 2026-02-01 20:08:51.844 End: 2026-02-01 20:08:51.844 Status: Not set
Worker     1: sim_id   136: sim Time: 0.000 Start: 2026-02-01 20:08:51.858 End: 2026-02-01 20:08:51.858 Status: Not set
Worker     2: sim_id   137: sim Time: 0.000 Start: 2026-02-01 20:08:51.859 End: 2026-02-01 20:08:51.859 Status: Not set
Worker     2: sim_id   139: sim Time: 0.000 Start: 2026-02-01 20:08:51.873 End: 2026-02-01 20:08:51.873 Status: Not set
Worker     1: sim_id   138: sim Time: 0.000 Start: 2026-02-01 20:08:51.875 End: 2026-02-01 20:08:51.875 Status: Not set
Worker     1: sim_id   140: sim Time: 0.000 Start: 2026-02-01 20:08:51.890 End: 2026-02-01 20:08:51.890 Status: Not set
Worker     2: sim_id   141: sim Time: 0.000 Start: 2026-02-01 20:08:51.891 End: 2026-02-01 20:08:51.891 Status: Not set
Worker     1: sim_id   142: sim Time: 0.000 Start: 2026-02-01 20:08:51.904 End: 2026-02-01 20:08:51.904 Status: Not set
Worker     2: sim_id   143: sim Time: 0.000 Start: 2026-02-01 20:08:51.903 End: 2026-02-01 20:08:51.903 Status: Not set
Worker     2: sim_id   145: sim Time: 0.000 Start: 2026-02-01 20:08:51.917 End: 2026-02-01 20:08:51.917 Status: Not set
Worker     1: sim_id   144: sim Time: 0.000 Start: 2026-02-01 20:08:51.920 End: 2026-02-01 20:08:51.920 Status: Not set
Worker     1: sim_id   146: sim Time: 0.001 Start: 2026-02-01 20:08:51.929 End: 2026-02-01 20:08:51.930 Status: Not set
Worker     2: sim_id   147: sim Time: 0.000 Start: 2026-02-01 20:08:51.932 End: 2026-02-01 20:08:51.932 Status: Not set
Worker     1: sim_id   148: sim Time: 0.000 Start: 2026-02-01 20:08:51.944 End: 2026-02-01 20:08:51.944 Status: Not set
Worker     2: sim_id   149: sim Time: 0.000 Start: 2026-02-01 20:08:51.943 End: 2026-02-01 20:08:51.943 Status: Not set
Worker     1: sim_id   150: sim Time: 0.000 Start: 2026-02-01 20:08:51.958 End: 2026-02-01 20:08:51.958 Status: Not set
Worker     2: sim_id   151: sim Time: 0.000 Start: 2026-02-01 20:08:51.961 End: 2026-02-01 20:08:51.961 Status: Not set
Worker     1: sim_id   152: sim Time: 0.000 Start: 2026-02-01 20:08:51.972 End: 2026-02-01 20:08:51.972 Status: Not set
Worker     2: sim_id   153: sim Time: 0.000 Start: 2026-02-01 20:08:51.976 End: 2026-02-01 20:08:51.976 Status: Not set
Worker     1: sim_id   154: sim Time: 0.000 Start: 2026-02-01 20:08:51.990 End: 2026-02-01 20:08:51.990 Status: Not set
Worker     2: sim_id   155: sim Time: 0.000 Start: 2026-02-01 20:08:51.993 End: 2026-02-01 20:08:51.993 Status: Not set
Worker     1: sim_id   156: sim Time: 0.000 Start: 2026-02-01 20:08:52.006 End: 2026-02-01 20:08:52.006 Status: Not set
Worker     2: sim_id   157: sim Time: 0.001 Start: 2026-02-01 20:08:52.006 End: 2026-02-01 20:08:52.007 Status: Not set
Worker     2: sim_id   159: sim Time: 0.001 Start: 2026-02-01 20:08:52.024 End: 2026-02-01 20:08:52.025 Status: Not set
Worker     1: sim_id   158: sim Time: 0.000 Start: 2026-02-01 20:08:52.026 End: 2026-02-01 20:08:52.026 Status: Not set
Worker     2: sim_id   161: sim Time: 0.000 Start: 2026-02-01 20:08:52.036 End: 2026-02-01 20:08:52.036 Status: Not set
Worker     1: sim_id   160: sim Time: 0.001 Start: 2026-02-01 20:08:52.036 End: 2026-02-01 20:08:52.037 Status: Not set
Worker     2: sim_id   163: sim Time: 0.000 Start: 2026-02-01 20:08:52.043 End: 2026-02-01 20:08:52.043 Status: Not set
Worker     1: sim_id   162: sim Time: 0.000 Start: 2026-02-01 20:08:52.044 End: 2026-02-01 20:08:52.044 Status: Not set
Worker     1: sim_id   164: sim Time: 0.001 Start: 2026-02-01 20:08:52.051 End: 2026-02-01 20:08:52.052 Status: Not set
Worker     2: sim_id   165: sim Time: 0.000 Start: 2026-02-01 20:08:52.052 End: 2026-02-01 20:08:52.052 Status: Not set
Worker     1: sim_id   166: sim Time: 0.000 Start: 2026-02-01 20:08:52.057 End: 2026-02-01 20:08:52.057 Status: Not set
Worker     2: sim_id   167: sim Time: 0.000 Start: 2026-02-01 20:08:52.058 End: 2026-02-01 20:08:52.058 Status: Not set
Worker     1: sim_id   168: sim Time: 0.000 Start: 2026-02-01 20:08:52.064 End: 2026-02-01 20:08:52.064 Status: Not set
Worker     2: sim_id   169: sim Time: 0.000 Start: 2026-02-01 20:08:52.064 End: 2026-02-01 20:08:52.064 Status: Not set
Worker     1: sim_id   170: sim Time: 0.000 Start: 2026-02-01 20:08:52.070 End: 2026-02-01 20:08:52.070 Status: Not set
Worker     2: sim_id   171: sim Time: 0.001 Start: 2026-02-01 20:08:52.069 End: 2026-02-01 20:08:52.070 Status: Not set
Worker     2: sim_id   173: sim Time: 0.000 Start: 2026-02-01 20:08:52.074 End: 2026-02-01 20:08:52.074 Status: Not set
Worker     1: sim_id   172: sim Time: 0.000 Start: 2026-02-01 20:08:52.074 End: 2026-02-01 20:08:52.074 Status: Not set
Worker     2: sim_id   175: sim Time: 0.000 Start: 2026-02-01 20:08:52.081 End: 2026-02-01 20:08:52.081 Status: Not set
Worker     1: sim_id   174: sim Time: 0.000 Start: 2026-02-01 20:08:52.082 End: 2026-02-01 20:08:52.082 Status: Not set
Worker     2: sim_id   177: sim Time: 0.000 Start: 2026-02-01 20:08:52.087 End: 2026-02-01 20:08:52.087 Status: Not set
Worker     1: sim_id   176: sim Time: 0.000 Start: 2026-02-01 20:08:52.087 End: 2026-02-01 20:08:52.087 Status: Not set
Worker     1: sim_id   178: sim Time: 0.000 Start: 2026-02-01 20:08:52.093 End: 2026-02-01 20:08:52.093 Status: Not set
Worker     2: sim_id   179: sim Time: 0.000 Start: 2026-02-01 20:08:52.093 End: 2026-02-01 20:08:52.093 Status: Not set
Worker     2: sim_id   181: sim Time: 0.000 Start: 2026-02-01 20:08:52.098 End: 2026-02-01 20:08:52.098 Status: Not set
Worker     1: sim_id   180: sim Time: 0.000 Start: 2026-02-01 20:08:52.099 End: 2026-02-01 20:08:52.099 Status: Not set
Worker     1: sim_id   182: sim Time: 0.000 Start: 2026-02-01 20:08:52.102 End: 2026-02-01 20:08:52.102 Status: Not set
Worker     2: sim_id   183: sim Time: 0.000 Start: 2026-02-01 20:08:52.102 End: 2026-02-01 20:08:52.102 Status: Not set
Worker     1: sim_id   184: sim Time: 0.000 Start: 2026-02-01 20:08:52.108 End: 2026-02-01 20:08:52.108 Status: Not set
Worker     2: sim_id   185: sim Time: 0.000 Start: 2026-02-01 20:08:52.108 End: 2026-02-01 20:08:52.108 Status: Not set
Worker     1: sim_id   186: sim Time: 0.000 Start: 2026-02-01 20:08:52.113 End: 2026-02-01 20:08:52.113 Status: Not set
Worker     2: sim_id   187: sim Time: 0.000 Start: 2026-02-01 20:08:52.113 End: 2026-02-01 20:08:52.113 Status: Not set
Worker     1: sim_id   188: sim Time: 0.000 Start: 2026-02-01 20:08:52.119 End: 2026-02-01 20:08:52.119 Status: Not set
Worker     2: sim_id   189: sim Time: 0.000 Start: 2026-02-01 20:08:52.119 End: 2026-02-01 20:08:52.119 Status: Not set
Worker     2: sim_id   191: sim Time: 0.000 Start: 2026-02-01 20:08:52.126 End: 2026-02-01 20:08:52.126 Status: Not set
Worker     1: sim_id   190: sim Time: 0.000 Start: 2026-02-01 20:08:52.127 End: 2026-02-01 20:08:52.127 Status: Not set
